,names,address,neighborhood,yr_start,yr_end, capacity , capacity_med ,acg,"lfh (live,film,hybrid)",precision,lat,long
170,Mafalda,"Av. Rangel Pestana, 150",Brás,1917,1929, 800-1265 , 1.033 ,C,F,exact,"-23,544767","-46,619074"
171,São Pedro,"R. Barra Funda, 33",Barra Funda,1917,2016,"1,100-1,580",1.340,C,H,street,"-23,532481","-46,653565"
172,"Victoria, Cinema",,,1917,1921, 550-600 , 575 ,C,F,,,
,"Penha, Cine-","R. da Penha, 74",Penha,1918,1922,240,240,C,F,street,"-23,524267","-46,547939"
174,Osasco,,,1919,1919,,,C,F,,,
175,Eden Polytheama; Braz Polytheama,"Av. Celso Garcia, 53",Belenzinho,1921,1963, 3.225 , 3.225 ,C,H,exact,"-23,539249","-46,609925"
176,"Santana, Salão, Theatro","R. 24 de Maio, 43",Centro,1921,1958," 1,378-1,600 ", 1.489 ,C,H,exact,"-23,544567","-46,639634"
177,"Carlos Gomes, Theatro","R. 12 de Outubro, 46, 44, 16, 76",Lapa,1922,1968," 1,304-2,000 ", 1.652 ,C,F,exact,"-23,518698","-46,703596"
178,"Olympia, Theatro","Av. Rangel Pestana, 88-94, 118-A, 120",Brás,1922,1929, 2.154 , 2.154 ,C,H,street,"-23,546533","-46,622059"
179,"Phenix, Theatro","R. Domingos de Moraes, 74",Vila Mariana,1923,1965,,,C,F,street,"-23,583909","-46,637093"
180,Triangulo,"R. 15 de Novembro, 34",Centro,1923,1929, 500 , 500 ,C,F,street,"-23,547155","-46,633987"
181,"Paraizo, Theatro","R. do Paraíso, 63, 69",Paraíso,1924,1945,1.116,1.116,C,F,street,"-23,574013","-46,638969"
182,"São José, Theatro",Largo Municipal = Largo de São Gonçalo,Centro,1861,1898,,,G,L,street,"-23,551739","-46,634731"
183,"Municipal, Theatro",R. Conselheiro Chrispiano,Centro,1911,2016,,,G,L,exact,"-23,545303","-46,638775"
184,Jardim da Acclimação ,Jardim da Acclimação,Acclimação,1918,1920,,,G,L,exact,"-23,572524","-46,628982"
