,names,address,neighborhood,yr_start,yr_end, capacity , capacity_med ,acg,"lfh (live,film,hybrid)",precision,lat,long,number
166,"São Paulo, Theatro",largo de são paulo = praça almeida júnior,Liberdade,1914,1967,"1,328-2,500",1.914,C,H,exact,"-23,556372","-46,633474",
167,"Boa Vista, Theatro",rua boa vista,Centro,1916,1947," 891-1,100 ", 996 ,C,H,exact,"-23,54462","-46,633638",52
168,Central,rua são joão,Centro,1916,1922," 1,148-1,400  ", 1.274 ,C,F,exact,"-23,544994","-46,635767","21, 53"
169,"Moderno, Theatro/Palacio",rua moóca,Moóca,1916,1966, 527 , 527 ,C,H,street,"-23,555065","-46,604525","419, 407"
170,Mafalda,avenida rangel pestana,Brás,1917,1929, 800-1265 , 1.033 ,C,F,exact,"-23,544767","-46,619074",150
171,São Pedro,rua barra funda,Barra Funda,1917,2016,"1,100-1,580",1.340,C,H,street,"-23,532481","-46,653565",33
172,"Victoria, Cinema",,,1917,1921, 550-600 , 575 ,C,F,,,,
,"Penha, Cine-",rua da penha,Penha,1918,1922,240,240,C,F,street,"-23,524267","-46,547939",74
174,Osasco,,,1919,1919,,,C,F,,,,
175,Eden Polytheama; Braz Polytheama,avenida celso garcia,Belenzinho,1921,1963, 3.225 , 3.225 ,C,H,exact,"-23,539249","-46,609925",53
176,"Santana, Salão, Theatro",rua 24 de maio,Centro,1921,1958," 1,378-1,600 ", 1.489 ,C,H,exact,"-23,544567","-46,639634",43
177,"Carlos Gomes, Theatro",rua 12 de outubro,Lapa,1922,1968," 1,304-2,000 ", 1.652 ,C,F,exact,"-23,518698","-46,703596","46, 44, 16, 76"
178,"Olympia, Theatro",avenida rangel pestana,Brás,1922,1929, 2.154 , 2.154 ,C,H,street,"-23,546533","-46,622059","88-94, 118-a, 120"
179,"Phenix, Theatro",rua domingos de moraes,Vila Mariana,1923,1965,,,C,F,street,"-23,583909","-46,637093",74
180,Triangulo,rua 15 de novembro,Centro,1923,1929, 500 , 500 ,C,F,street,"-23,547155","-46,633987",34
181,"Paraizo, Theatro",rua do paraíso,Paraíso,1924,1945,1.116,1.116,C,F,street,"-23,574013","-46,638969","63, 69"
182,"São José, Theatro",largo municipal = largo de são gonçalo,Centro,1861,1898,,,G,L,street,"-23,551739","-46,634731",
183,"Municipal, Theatro",rua conselheiro chrispiano,Centro,1911,2016,,,G,L,exact,"-23,545303","-46,638775",
184,Jardim da Acclimação ,jardim da acclimação,Acclimação,1918,1920,,,G,L,exact,"-23,572524","-46,628982",
